,Country_Code,Amount_in_usd,Delta
0,ALB,148924976.88408032,0.09999999999999432
1,ARM,139000000.0,1.0999999999999943
2,BLR,305000000.0,0.0
3,BLZ,11500000.0,32.540016174316406
4,CHN,6930000000.0,3.0928955078125
5,CMR,328850007.7947957,33.6600723266602
6,COL,498600000.0,10.036447143554696
7,DMA,127300000.0,25.0
8,DZA,33000000.0,1.2527313232422017
9,EGY,2740000000.0,6.599999999999994
10,GEO,60000000.0,0.09999999999999432
11,HUN,260000000.0,0.0
12,IDN,4316400000.0,49.61000000000001
13,IND,6608000000.0,44.33585510253911
14,IRN,165000000.0,2.0999999999999943
15,JAM,36000000.0,28.598694944824203
16,KAZ,140000000.0,0.09999999999999432
17,LBN,130000000.0,0.09999999999999432
18,LTU,52800000.0,0.0
19,MAR,641357846.1274159,50.8
20,MEX,450000000.0,6.854018999999994
21,MKD,87843185.5930843,1.0
22,NGA,70000000.0,29.2
23,PAK,1920600000.0,0.6315467008027014
24,PER,626940000.0,25.10000000000001
25,PHL,356000000.0,29.4572311401367
26,POL,320000000.0,0.0
27,PRY,125000000.0,22.530885999999995
28,ROU,373954015.21483,0.0
29,RWA,27500000.0,32.4165718078613
30,SLV,65000000.0,30.392120000000006
31,SRB,302207437.48073673,0.0
32,THA,100000000.0,17.900000000000006
33,TUR,2365445184.3095813,0.0
34,UKR,779400000.0,0.11443829868399291
35,UZB,382000000.0,0.4000000000000057
36,VNM,1380000000.0,21.599999999999994
37,ZWE,180000000.0,12.8415840148926
